RecordedDate,condition,choiceDV,surprise,focus,rep_surp,age,gender,gender_3_TEXT
9/22/21 18:11,2,1,6,1,3,42,1,
9/22/21 18:11,2,2,7,2,7,20,0,
9/22/21 18:11,2,1,2,3,7,68,0,
9/22/21 18:11,2,1,3,3,7,64,0,
9/22/21 18:12,2,2,1,4,7,44,1,
9/22/21 18:12,2,2,8,1,7,50,0,
9/22/21 18:12,2,1,3,3,6,26,0,
9/22/21 18:13,2,2,6,3,7,39,0,
9/22/21 18:13,2,1,2,4,7,33,1,
9/22/21 18:13,2,2,9,4,7,65,1,
9/22/21 18:14,2,2,8,3,6,38,1,
9/22/21 18:14,2,1,3,-2,7,47,1,
9/22/21 18:14,2,1,1,4,7,25,0,
9/22/21 18:15,2,1,1,-4,7,63,1,
9/22/21 18:15,2,1,6,-2,6,43,0,
9/22/21 18:16,2,1,1,1,7,68,1,
9/22/21 18:16,2,2,9,4,7,36,0,
9/22/21 18:17,2,1,8,4,4,23,4,
9/22/21 18:17,2,2,9,0,4,34,0,
9/22/21 18:17,2,1,1,4,7,64,0,
9/22/21 18:17,2,2,5,0,7,56,0,
9/22/21 18:18,2,1,2,-3,7,58,1,
9/22/21 18:18,2,2,7,0,5,40,0,
9/22/21 18:19,2,1,7,-3,6,29,0,
9/22/21 18:19,2,1,1,0,7,61,1,
9/22/21 18:19,2,2,7,3,7,52,0,
9/22/21 18:21,2,1,6,2,6,44,0,
9/22/21 18:21,2,1,6,-1,7,24,0,
9/22/21 18:22,2,2,2,0,4,39,0,
9/22/21 18:22,2,1,9,0,7,45,0,
9/22/21 18:23,2,2,7,3,7,35,0,
9/22/21 18:23,2,2,9,4,7,56,1,
9/22/21 18:24,2,2,7,0,6,74,0,
9/22/21 18:24,2,1,1,0,7,85,0,
9/22/21 18:24,2,1,6,-4,6,30,1,
9/22/21 18:25,2,1,1,2,6,70,1,
9/22/21 18:26,2,1,1,-3,7,50,1,
9/22/21 18:26,2,2,9,4,7,47,1,
9/22/21 18:28,2,2,6,1,7,40,0,
9/22/21 18:28,2,1,1,-2,7,37,1,
9/22/21 18:31,2,1,9,4,7,54,0,
9/22/21 18:31,2,2,7,3,7,30,0,
9/22/21 18:33,2,2,8,3,5,68,1,
9/22/21 18:33,2,1,1,-4,7,39,0,
9/22/21 18:33,2,1,1,4,7,43,0,
