RecordedDate,Condition,choiceDV,rep_surp,focus_b,focus_w,focus_w.r,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/8/21 21:58,1,1,4,5,4,2,3.5,4,4,5,2,31,0
9/8/21 22:01,1,2,5,4,2,4,4,5,4,3,4,36,0
9/8/21 22:01,1,2,1,4,1,5,4.5,1,4,5,3,19,0
9/8/21 22:01,1,1,4,2,5,1,1.5,4,4,2,1,42,1
9/8/21 22:02,1,1,5,4,4,2,3,5,4,4,4,36,1
9/8/21 22:07,1,2,4,4,3,3,3.5,3,4,2,4,29,0
9/8/21 22:10,1,1,4,3,3,3,3,4,4,4,3,56,1
9/8/21 22:13,1,2,5,4,2,4,4,1,5,4,1,21,1
9/8/21 22:14,1,2,5,5,2,4,4.5,4,5,3,3,42,0
9/8/21 22:15,1,2,4,4,1,5,4.5,5,3,3,3,38,0
9/8/21 22:17,1,2,5,5,2,4,4.5,5,5,1,1,26,0
9/8/21 22:18,1,1,3,3,3,3,3,1,1,1,1,60,1
9/8/21 22:20,1,2,5,5,1,5,5,4,5,4,4,22,0
9/8/21 22:20,1,1,5,2,4,2,2,4,3,2,4,40,1
9/8/21 22:21,1,2,5,5,2,4,4.5,5,4,3,3,40,1
9/8/21 22:24,1,2,5,5,1,5,5,5,5,4,3,49,1
9/15/21 21:29,1,2,5,5,1,5,5,5,,,,,
9/15/21 22:03,1,2,4,4,3,3,3.5,3,,,,,
9/15/21 22:17,1,1,2,4,4,2,3,3,,,,,
9/8/21 21:02,2,1,3,4,4,2,3,2,3,4,2,28,0
9/8/21 21:03,2,2,5,3,4,2,2.5,5,5,4,3,30,0
9/8/21 21:03,2,2,4,4,2,4,4,4,4,3,1,25,2
9/8/21 21:04,2,1,5,2,5,1,1.5,4,4,1,1,43,0
9/8/21 21:04,2,1,4,3,4,2,2.5,3,4,3,3,28,1
9/8/21 21:04,2,1,4,2,4,2,2,1,4,1,4,28,1
9/8/21 21:06,2,1,5,3,5,1,2,3,4,3,3,37,0
9/8/21 21:06,2,1,5,4,4,2,3,5,5,5,3,23,0
9/8/21 21:07,2,1,4,2,4,2,2,4,5,4,5,23,1
9/8/21 21:07,2,2,5,4,2,4,4,1,1,1,2,60,0
9/8/21 21:07,2,1,3,3,3,3,3,3,2,3,3,26,1
9/8/21 21:07,2,1,4,3,3,3,3,4,1,3,3,46,0
9/8/21 21:07,2,1,5,1,5,1,1,5,4,3,5,33,0
9/8/21 21:07,2,2,5,5,5,1,3,5,5,4,4,32,0
9/8/21 21:08,2,1,3,4,3,3,3.5,3,4,3,2,33,1
9/8/21 21:09,2,1,4,3,3,3,3,2,3,2,2,35,0
9/8/21 21:09,2,2,5,4,2,4,4,4,4,3,4,19,1
9/8/21 21:10,2,2,5,5,5,1,3,3,5,3,3,39,1
9/8/21 21:10,2,1,4,2,4,2,2,3,4,1,3,47,1
9/8/21 21:10,2,2,5,5,2,4,4.5,5,5,3,3,34,0
9/8/21 21:11,2,2,4,5,3,3,4,4,4,1,4,52,0
9/8/21 21:12,2,2,4,4,3,3,3.5,4,5,4,4,38,1
9/8/21 21:13,2,1,2,2,4,2,2,4,4,5,4,41,0
9/8/21 21:13,2,1,5,3,3,3,3,5,3,4,3,34,0
9/8/21 21:13,2,1,5,4,5,1,2.5,5,3,3,5,41,1
9/8/21 21:13,2,1,5,5,3,3,4,5,2,2,4,43,1
9/8/21 21:14,2,2,4,5,2,4,4.5,5,4,4,4,40,1
9/8/21 21:14,2,2,4,5,4,2,3.5,4,4,3,5,26,1
9/8/21 21:14,2,2,5,5,1,5,5,4,5,4,3,29,1
9/8/21 21:16,2,2,4,4,2,4,4,2,4,3,4,34,1
9/8/21 21:16,2,2,3,3,4,2,2.5,3,3,4,2,21,1
9/8/21 21:17,2,2,5,5,5,1,3,5,5,5,5,39,0
9/8/21 21:17,2,2,5,3,3,3,3,5,3,4,4,50,1
9/8/21 21:17,2,1,5,5,4,2,3.5,4,4,4,3,24,1
9/8/21 21:17,2,1,5,4,2,4,4,5,4,4,3,59,0
9/8/21 21:17,2,2,5,4,2,4,4,4,4,2,3,53,1
9/8/21 21:18,2,1,3,4,3,3,3.5,3,2,4,3,37,1
9/8/21 21:19,2,1,5,3,4,2,2.5,4,3,4,2,39,0
9/8/21 21:19,2,2,4,4,2,4,4,4,4,4,3,41,0
9/8/21 21:19,2,1,4,4,2,4,4,5,4,3,3,39,0
9/8/21 21:20,2,2,5,5,1,5,5,5,5,3,4,30,0
9/8/21 21:20,2,1,4,2,4,2,2,3,3,3,2,36,1
9/8/21 21:20,2,1,5,1,5,1,1,3,1,3,4,66,1
9/8/21 21:20,2,1,4,3,3,3,3,2,3,3,2,46,0
9/8/21 21:21,2,1,5,1,5,1,1,4,2,2,2,36,0
9/8/21 21:21,2,2,4,2,5,1,1.5,3,1,2,5,24,2
9/8/21 21:21,2,1,4,3,3,3,3,2,4,2,3,52,1
9/8/21 21:22,2,2,5,5,2,4,4.5,3,3,3,2,27,1
9/8/21 21:22,2,2,5,4,2,4,4,2,4,4,4,30,1
9/8/21 21:22,2,1,5,5,5,1,3,2,1,1,1,36,0
