RecordedDate,Condition,choiceDV,surprise,ManipCheck1,ManipCheck2,indiv1,indiv2,age,gender,gender_3_TEXT
11/17/21 16:59,1,2,5,9,9,4,1,42,0,
11/17/21 16:59,1,2,4,4,4,3,5,62,0,
11/17/21 17:00,1,1,4,7,7,3,3,40,1,
11/17/21 17:00,1,2,9,7,9,7,2,67,0,
11/17/21 17:00,1,1,2,9,1,5,2,72,1,
11/17/21 17:00,1,1,7,9,1,7,1,36,0,
11/17/21 17:01,1,2,9,8,7,4,4,39,1,
11/17/21 17:01,1,2,9,7,9,5,2,22,2,
11/17/21 17:02,1,2,9,9,9,7,1,45,0,
11/17/21 17:03,1,1,6,7,8,3,4,34,1,
11/17/21 17:03,1,1,9,8,9,1,7,53,0,
11/17/21 17:03,1,1,1,9,9,4,4,35,0,
11/17/21 17:03,1,2,9,3,9,7,2,46,0,
11/17/21 17:03,1,2,9,6,7,5,4,64,1,
11/17/21 17:03,1,2,2,5,5,6,2,34,1,
11/17/21 17:03,1,2,7,9,9,6,2,59,0,
11/17/21 17:03,1,2,5,6,7,3,4,34,1,
11/17/21 17:04,1,2,9,9,9,2,4,37,0,
11/17/21 17:04,1,2,8,8,9,6,7,41,1,
11/17/21 17:04,1,1,4,6,7,3,5,32,1,
11/17/21 17:05,1,2,5,9,9,3,6,40,0,
11/17/21 17:05,1,1,2,7,8,4,2,33,1,
11/17/21 17:06,1,2,4,4,5,4,3,24,0,
11/17/21 17:06,1,2,9,6,7,7,1,53,1,
11/17/21 17:06,1,1,9,9,9,1,7,38,0,
11/17/21 17:07,1,2,2,4,2,3,4,48,1,
11/17/21 17:07,1,1,1,9,9,4,3,36,0,
11/17/21 17:07,1,2,9,9,9,7,1,47,0,
11/17/21 17:08,1,1,1,7,9,2,5,37,1,
11/17/21 17:08,1,1,4,6,5,4,3,47,1,
11/17/21 17:09,1,2,3,7,9,4,4,27,0,
11/17/21 17:09,1,2,9,8,9,5,4,30,1,
11/17/21 17:10,1,1,5,7,6,5,4,71,0,
11/17/21 17:10,1,1,1,9,9,3,2,33,1,
11/17/21 17:10,1,1,1,5,9,2,6,64,1,
11/17/21 17:10,1,2,7,9,7,6,2,21,0,
11/17/21 17:10,1,2,1,6,5,7,1,38,0,
11/17/21 17:10,1,2,9,7,8,6,3,31,0,
11/17/21 17:12,1,1,5,9,9,1,4,24,1,
11/17/21 17:12,1,2,8,9,9,7,1,33,0,
11/17/21 17:12,1,1,4,6,7,4,3,34,1,
11/17/21 17:23,1,1,2,6,7,4,1,53,1,
11/17/21 17:25,1,2,7,6,9,4,3,39,1,
11/17/21 15:32,2,2,5,3,3,6,1,26,0,
11/17/21 15:32,2,2,8,1,6,5,4,39,1,
11/17/21 15:32,2,2,7,2,4,5,2,27,0,
11/17/21 15:32,2,1,1,2,4,5,3,23,1,
11/17/21 15:33,2,2,6,3,5,4,3,23,0,
11/17/21 15:33,2,1,8,7,8,6,1,26,1,
11/17/21 15:33,2,1,1,2,3,2,6,32,0,
11/17/21 15:33,2,1,5,2,3,2,5,37,0,
11/17/21 15:33,2,1,2,2,6,3,5,33,1,
11/17/21 15:33,2,1,1,2,3,4,1,26,1,
11/17/21 15:34,2,2,3,3,5,3,4,36,1,
11/17/21 15:34,2,1,1,4,8,4,4,37,1,
11/17/21 15:34,2,1,1,3,3,4,3,48,0,
11/17/21 15:34,2,1,1,9,9,5,2,64,0,
11/17/21 15:35,2,1,2,4,8,3,5,34,1,
11/17/21 15:35,2,2,9,9,9,7,1,34,1,
11/17/21 15:35,2,2,8,3,7,2,4,40,1,
11/17/21 15:35,2,2,7,6,8,5,2,34,1,
11/17/21 15:35,2,2,9,5,9,1,7,42,0,
11/17/21 15:35,2,1,1,1,1,1,7,48,0,
11/17/21 15:35,2,1,1,5,6,2,6,26,1,
11/17/21 15:36,2,2,7,3,3,5,2,26,0,
11/17/21 15:36,2,2,9,3,5,7,2,27,0,
11/17/21 15:36,2,2,7,6,5,6,1,47,1,
11/17/21 15:36,2,1,1,3,5,1,7,26,0,
11/17/21 15:36,2,2,7,3,6,5,2,46,1,
11/17/21 15:36,2,1,6,6,7,3,5,23,1,
11/17/21 15:37,2,1,5,3,3,4,3,39,1,
11/17/21 15:37,2,2,7,3,5,5,3,43,0,
11/17/21 15:37,2,1,1,5,9,1,7,69,0,
11/17/21 15:37,2,2,1,3,2,3,4,22,1,
11/17/21 15:37,2,1,6,7,6,4,5,33,1,
11/17/21 15:38,2,2,9,3,6,5,3,54,0,
11/17/21 15:38,2,2,9,1,2,7,1,31,0,
11/17/21 15:38,2,2,7,3,4,5,2,45,0,
11/17/21 15:38,2,2,2,2,3,4,3,56,1,
11/17/21 15:38,2,2,7,3,5,5,2,35,1,
11/17/21 15:39,2,1,1,3,5,2,6,58,1,
11/17/21 15:39,2,2,4,3,4,5,1,31,1,
11/17/21 15:40,2,1,1,3,9,1,7,32,0,
11/17/21 15:40,2,1,5,7,7,3,6,48,1,
11/17/21 15:40,2,1,2,3,5,4,3,27,1,
11/17/21 15:41,2,1,1,4,4,4,3,37,1,
11/17/21 15:41,2,1,1,4,7,2,6,35,0,
11/17/21 15:41,2,2,1,3,3,5,3,49,0,
11/17/21 15:41,2,2,5,3,3,5,2,28,1,
11/17/21 15:41,2,1,1,5,5,4,4,54,0,
11/17/21 15:41,2,2,7,4,9,5,3,31,0,
11/17/21 15:41,2,1,1,4,5,2,6,30,0,
11/17/21 15:42,2,1,1,3,5,4,4,39,4,
11/17/21 15:42,2,1,1,6,6,2,6,55,1,
11/17/21 15:42,2,2,7,3,6,6,1,33,1,
11/17/21 15:42,2,1,2,3,4,4,5,36,0,
11/17/21 15:42,2,1,2,4,9,2,6,63,0,
11/17/21 15:43,2,1,1,6,6,2,6,37,0,
11/17/21 15:43,2,1,3,2,3,2,4,25,0,
11/17/21 15:45,2,2,3,3,5,5,3,31,1,
11/17/21 15:47,2,1,9,9,9,7,7,40,0,
11/17/21 15:47,2,2,8,7,9,5,2,50,0,
11/17/21 15:49,2,2,7,4,9,5,1,64,0,
11/17/21 15:50,2,1,1,4,5,3,5,39,1,
11/17/21 15:51,2,2,9,4,7,6,1,39,0,
11/17/21 15:54,2,2,9,5,5,6,2,30,0,
11/17/21 15:56,2,2,2,2,3,1,5,31,1,
11/17/21 15:59,2,1,1,5,5,1,7,24,1,
11/17/21 15:59,2,1,1,3,1,4,3,35,1,
11/17/21 16:01,2,1,3,4,6,2,6,40,0,
11/17/21 16:03,2,2,5,3,3,4,2,51,1,
11/17/21 16:03,2,1,2,3,5,2,6,66,0,
11/17/21 16:04,2,2,5,3,4,5,2,32,1,
11/17/21 16:04,2,2,6,6,7,4,3,39,0,
11/17/21 16:05,2,1,1,3,7,1,7,47,0,
11/17/21 16:05,2,2,9,4,5,5,3,42,0,
11/17/21 16:06,2,1,6,4,5,4,4,33,0,
11/17/21 16:07,2,1,1,3,3,5,3,36,0,
11/17/21 16:15,2,1,9,5,6,1,7,68,0,
11/17/21 16:51,2,1,4,4,2,2,5,35,0,
11/17/21 16:52,2,1,1,2,5,1,7,31,1,
11/17/21 16:52,2,2,8,2,1,6,1,34,1,
11/17/21 16:52,2,2,7,3,6,5,3,42,0,
11/17/21 16:52,2,2,9,2,6,5,3,26,0,
11/17/21 16:53,2,1,2,6,6,2,6,62,0,
11/17/21 16:53,2,2,8,4,8,4,4,37,1,
11/17/21 16:53,2,1,1,9,9,3,5,45,0,
11/17/21 16:53,2,1,5,3,3,2,6,36,1,
11/17/21 16:53,2,1,1,9,9,5,2,45,0,
11/17/21 16:54,2,1,9,5,6,4,4,34,0,
11/17/21 16:54,2,1,1,7,5,2,6,55,0,
11/17/21 16:54,2,2,2,2,2,4,2,60,1,
11/17/21 16:54,2,1,5,3,7,2,6,32,0,
11/17/21 16:54,2,1,2,4,6,5,3,44,1,
11/17/21 16:55,2,2,6,3,5,6,2,53,1,
11/17/21 16:55,2,2,6,3,3,6,3,41,0,
11/17/21 16:55,2,2,8,6,9,6,2,47,0,
11/17/21 16:55,2,2,8,3,5,6,2,32,0,
11/17/21 16:55,2,1,3,3,2,5,2,36,1,
11/17/21 16:55,2,1,9,2,2,1,7,44,1,
11/17/21 16:56,2,2,9,6,9,7,1,49,0,
11/17/21 16:56,2,1,6,6,9,1,6,59,1,
11/17/21 16:56,2,1,1,3,3,4,2,43,0,
