RecordedDate,condition,ChoiceDV,Surprise,focus,representSurp,best,worst,Imagery,fun,Affect,Cognitive,drink,age,gender,FocusIndex
9/21/21 4:36,1,2,9,2,5,5,1,3,4,3,3,1,25,1,5
9/21/21 4:36,1,2,7,2,4,4,3,4,4,3,4,1,31,1,3.5
9/21/21 4:40,1,2,9,4,5,4,4,5,5,2,2,1,44,0,3
9/21/21 4:41,1,2,9,2,5,4,2,1,5,4,1,1,23,0,4
9/21/21 4:45,1,2,7,3,5,4,3,5,5,3,3,1,63,0,3.5
9/21/21 4:46,1,2,7,3,4,4,2,4,3,3,4,1,54,1,4
9/21/21 4:47,1,2,7,2,5,4,3,4,4,3,3,1,35,1,3.5
9/21/21 4:48,1,2,9,3,1,5,2,4,5,4,4,1,33,1,4.5
9/21/21 4:51,1,2,8,3,5,4,3,3,4,3,3,1,62,0,3.5
9/21/21 4:52,1,2,6,4,5,4,3,4,4,3,4,2,20,0,3.5
9/21/21 4:54,1,2,8,1,4,4,3,3,4,4,3,1,40,0,3.5
9/21/21 4:55,1,2,5,1,3,4,2,4,3,3,2,1,40,1,4
9/21/21 5:01,1,2,9,4,5,5,1,5,5,5,2,1,38,0,5
9/21/21 5:02,1,2,2,2,5,4,3,4,2,3,2,2,60,1,3.5
9/21/21 5:05,1,2,8,2,5,3,4,4,4,3,3,1,36,1,2.5
9/21/21 5:07,1,2,3,1,5,4,2,4,3,3,3,1,27,2,4
9/21/21 5:08,1,2,9,4,5,5,1,5,5,5,5,1,44,0,5
9/21/21 5:09,1,2,9,4,5,3,1,4,4,2,3,1,39,1,4
9/21/21 5:11,1,2,2,1,4,2,3,4,3,3,4,2,51,0,2.5
9/21/21 5:13,1,2,8,3,5,4,2,4,4,3,3,1,52,0,4
9/21/21 5:15,1,2,9,4,5,5,1,5,5,3,1,1,59,0,5
9/21/21 5:16,1,2,9,3,5,4,3,5,4,3,3,1,33,0,3.5
9/21/21 5:26,1,2,1,2,5,4,2,1,2,2,2,2,29,0,4
